Pedido;Item;Tax_Antes;Tax_Novo;Tax_Depois;Material_Antes;Material_Novo;Material_Depois;CC_Antes;CC_Novo;CC_Depois;Status;Mensagens
4500033915;10;F4;;F4;1000784;;1000784;;20111PD011;;OK;S - 06 023: Standard PO 4500033915 changed | I - KI 339: Profit center was set to L2011002 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033877;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033877 changed | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer | I - KI 339: Profit center was set to L2002005
4500033873;10;P5;;P5;60000684;;60000684;;20022PD002;;OK;S - 06 023: Standard PO 4500033873 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033870;10;F5;;F5;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033870 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033867;10;F5;;F5;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033867 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033864;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033864 changed | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer | I - KI 339: Profit center was set to L2002005
4500033861;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033861 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033918;10;F4;;F4;1000784;;1000784;;20111PD003;;OK;S - 06 023: Standard PO 4500033918 changed | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer | I - KI 339: Profit center was set to L2011002
4500033909;10;C0;;C0;20014047;;20014047;;20021PI011;;OK;S - 06 023: Standard PO 4500033909 changed | I - KI 339: Profit center was set to L2002001 | W - ME 678: Purchase order unit L allows fewer decimal places only | W - ME 083: Enter Requester, customer
4500033858;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033858 changed | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer | I - KI 339: Profit center was set to L2002005
