Pedido,Item,Antes,Novo,Depois,Status,Mensagens
4500031354,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031354 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031355,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031355 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031356,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031356 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031357,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031357 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031358,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031358 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031368,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031368 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031369,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031369 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031377,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031377 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031378,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031378 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031379,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031379 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031380,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031380 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031383,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031383 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031385,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031385 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031386,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031386 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031387,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031387 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031388,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031388 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031389,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031389 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031390,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031390 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031422,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031422 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
