========== RELATÓRIO DE AUDITORIA ==========

Transação : ME31K
Operador  : ronaldo.gontijo (Máquina: NTINM019)
Início    : 29/07/2026 16:04:22
Fim       : 29/07/2026 16:06:06
============================================

[SUCESSO] Contrato: 1 | Material: 60000106 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000112 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000113 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000142 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000144 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000145 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000146 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000147 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000148 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000149 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000150 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000151 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000152 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000153 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000154 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000156 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000157 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000159 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000160 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000161 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000162 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000163 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
